impl_name,scenario,N,ns_per_op
std_vector_direct,MIXED_R10W90,1000,8.2
go_slice_int64,MIXED_R10W90,10000,0.0
numpy_int64,MIXED_R10W90,10000,1031.71
py_array_q,MIXED_R10W90,10000,948.46
py_list,MIXED_R10W90,10000,844.2
rust_vec_i64,MIXED_R10W90,10000,5.73
sec3,MIXED_R10W90,10000,41.99
sec4,MIXED_R10W90,10000,27.67
std_vector,MIXED_R10W90,10000,10.65
std_vector_direct,MIXED_R10W90,10000,7.08
go_slice_int64,MIXED_R10W90,100000,20.009
numpy_int64,MIXED_R10W90,100000,1057.431
py_array_q,MIXED_R10W90,100000,887.822
py_list,MIXED_R10W90,100000,978.019
rust_vec_i64,MIXED_R10W90,100000,5.429
sec3,MIXED_R10W90,100000,55.828
sec4,MIXED_R10W90,100000,34.43
std_vector,MIXED_R10W90,100000,14.273
std_vector_direct,MIXED_R10W90,100000,9.606
go_slice_int64,MIXED_R10W90,1000000,48.5978
numpy_int64,MIXED_R10W90,1000000,1182.4774
py_array_q,MIXED_R10W90,1000000,981.0258
py_list,MIXED_R10W90,1000000,1572.5911
rust_vec_i64,MIXED_R10W90,1000000,16.4505
sec3,MIXED_R10W90,1000000,101.4771
sec4,MIXED_R10W90,1000000,88.0374
std_vector,MIXED_R10W90,1000000,54.7785
std_vector_direct,MIXED_R10W90,1000000,28.2828
go_slice_int64,MIXED_R10W90,10000000,66.0077
numpy_int64,MIXED_R10W90,10000000,1179.7296
py_array_q,MIXED_R10W90,10000000,1073.3399
py_list,MIXED_R10W90,10000000,1071.5087
rust_vec_i64,MIXED_R10W90,10000000,21.7215
sec3,MIXED_R10W90,10000000,111.9245
sec4,MIXED_R10W90,10000000,179.121
std_vector,MIXED_R10W90,10000000,42.0938
std_vector_direct,MIXED_R10W90,10000000,33.4694
go_slice_int64,MIXED_R10W90,100000000,203.7028
numpy_int64,MIXED_R10W90,100000000,1121.1897
py_array_q,MIXED_R10W90,100000000,1175.7643
py_list,MIXED_R10W90,100000000,1129.4788
rust_vec_i64,MIXED_R10W90,100000000,32.4289
sec3,MIXED_R10W90,100000000,110.6885
sec4,MIXED_R10W90,100000000,186.3421
std_vector,MIXED_R10W90,100000000,47.0296
std_vector_direct,MIXED_R10W90,100000000,51.0954
go_slice_int64,MIXED_R30W70,1000,0.0
numpy_int64,MIXED_R30W70,1000,894.3
py_array_q,MIXED_R30W70,1000,766.8
py_list,MIXED_R30W70,1000,691.8
rust_vec_i64,MIXED_R30W70,1000,6.3
sec3,MIXED_R30W70,1000,40.2
